law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
"Steve Kraushaar, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=12412,Marysville,KS,Marshall,785-562-2369,,General,1017 Broadway PO Box 107,66508,,2,1,KS Courts Registry,2026-08-17
Westbrook Law Office LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27547,Marysville,KS,Marshall,785-562-5388,,General,916 Broadway PO Box 386,66508,,2,1,KS Courts Registry,2026-08-17
